date_vente,heure,ticket_id,produit,categorie,quantite,prix_unitaire_ttc,moyen_paiement
2024-01-01,17:15,T1023,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-01,17:15,T1023,Croissant,Snacking,1.0,1.2,Espèces
2024-01-01,17:15,T1023,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-01,19:43,T1024,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-01,19:43,T1024,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-01,11:12,T1025,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-01,11:12,T1025,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-01,11:12,T1025,Thé menthe,Boissons chaudes,2.0,2.0,CB
2024-01-01,21:35,T1026,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-01,21:35,T1026,Thé menthe,Boissons chaudes,2.0,2.0,CB
2024-01-01,15:13,T1027,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-01,13:59,T1028,Euromillions,FDJ,1.0,2.5,Espèces
2024-01-01,19:50,T1029,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-01,19:50,T1029,Eau 50cl,Boissons froides,3.0,1.0,CB
2024-01-01,19:50,T1029,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,19:03,T1030,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-01,19:03,T1030,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-01,08:04,T1031,Pain au chocolat,Snacking,2.0,1.3,Espèces
2024-01-01,08:04,T1031,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-01,08:04,T1031,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-01,08:42,T1032,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,18:20,T1033,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-01,18:20,T1033,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-01,19:04,T1034,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,19:04,T1034,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-01,12:04,T1035,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-01,17:19,T1036,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,17:19,T1036,Café expresso,Boissons chaudes,1.0,1.3,CB
2024-01-01,09:56,T1037,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,09:56,T1037,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,09:56,T1037,Camel Filters,Tabac,1.0,11.9,CB
2024-01-01,09:56,T1037,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-01,20:32,T1038,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-01,20:32,T1038,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-01,20:32,T1038,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-01,18:16,T1039,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,18:16,T1039,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-01,18:16,T1039,Sandwich jambon beurre,Snacking,2.0,4.8,CB
2024-01-01,17:53,T1040,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-01,17:53,T1040,Grattage Astro,FDJ,2.0,5.0,CB
2024-01-01,17:53,T1040,Thé menthe,Boissons chaudes,2.0,2.0,CB
2024-01-01,17:53,T1040,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-01,10:15,T1041,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-01,10:15,T1041,Grattage Astro,FDJ,2.0,5.0,Espèces
2024-01-01,10:15,T1041,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-01,20:11,T1042,Cafe expresso,Boissons chaudes,1.0,1.3,Espèces
2024-01-01,20:26,T1043,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-01,20:26,T1043,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-01,20:26,T1043,Thé menthe,Boissons chaudes,1.0,2.0,Espèces
2024-01-01,20:26,T1043,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-01,21:22,T1044,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-01,13:17,T1045,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-01,13:17,T1045,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-01,13:17,T1045,Marlboro Red,Tabac,2.0,12.5,Espèces
2024-01-01,07:56,T1046,Red Bull,Boissons froides,1.0,2.8,Espèces
2024-01-01,07:56,T1046,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-01,20:27,T1047,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,20:27,T1047,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,19:00,T1048,Croissant,Snacking,1.0,1.2,CB
2024-01-01,19:00,T1048,Camel Filters,Tabac,2.0,11.9,CB
2024-01-01,18:42,T1049,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-01,18:42,T1049,Feuilles OCB,Accessoires,1.0,1.2,Espèces
2024-01-01,18:42,T1049,Marlboro Red,Tabac,1.0,12.5,Espèces
2024-01-01,18:42,T1049,Croissant,Snacking,1.0,1.2,Espèces
2024-01-01,13:47,T1050,Panini fromage,Snacking,2.0,5.5,Espèces
2024-01-01,13:47,T1050,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-01,13:47,T1050,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-01,18:20,T1051,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,18:20,T1051,Croissant,Snacking,2.0,1.2,CB
2024-01-01,18:20,T1051,Sandwich jambon beurre,Snacking,2.0,4.8,CB
2024-01-01,08:32,T1052,Marlboro Red,Tabac,1.0,12.5,Espèces
2024-01-01,11:19,T1053,Croissant,Snacking,1.0,1.2,CB
2024-01-01,11:19,T1053,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-01,11:19,T1053,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-01,11:19,T1053,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,18:12,T1054,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-01,18:12,T1054,Briquet Bic,Accessoires,1.0,1.5,Espèces
2024-01-01,21:55,T1055,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-01,21:55,T1055,Grattage Astro,FDJ,3.0,5.0,Espèces
2024-01-01,21:55,T1055,Feuilles OCB,Accessoires,1.0,1.2,Espèces
2024-01-02,21:07,T1056,Euromillions,FDJ,3.0,2.5,CB
2024-01-02,21:07,T1056,Marlboro Red,Tabac,2.0,12.5,CB
2024-01-02,19:32,T1057,Euromillions,FDJ,1.0,2.5,CB
2024-01-02,19:32,T1057,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-02,11:40,T1058,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-02,11:40,T1058,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-02,11:17,T1059,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,19:45,T1060,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-02,14:13,T1061,Lucky Strike,Tabac,2.0,12.2,Espèces
2024-01-02,14:13,T1061,Café expresso,Boissons chaudes,2.0,1.3,Espèces
2024-01-02,06:22,T1062,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-02,06:22,T1062,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-02,21:31,T1063,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-02,21:31,T1063,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-02,21:31,T1063,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-02,20:58,T1064,Café expresso,Boissons chaudes,1.0,1.3,CB
2024-01-02,20:58,T1064,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-02,20:58,T1064,Panini fromage,Snacking,1.0,5.5,CB
2024-01-02,15:03,T1065,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-02,19:24,T1066,Grattage Astro,FDJ,2.0,5.0,CB
2024-01-02,19:24,T1066,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-02,08:22,T1067,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,08:22,T1067,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-02,08:22,T1067,Lucky Strike,Tabac,2.0,12.2,CB
2024-01-02,11:30,T1068,Croissant,Snacking,1.0,1.2,Espèces
2024-01-02,11:30,T1068,Euromillions,FDJ,2.0,2.5,Espèces
2024-01-02,18:47,T1069,Red Bull,Boissons froides,3.0,2.8,Espèces
2024-01-02,07:19,T1070,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-02,08:44,T1071,Pain au chocolat,Snacking,2.0,1.3,Espèces
2024-01-02,08:44,T1071,Coca-Cola 33cl,Boissons froides,2.0,2.5,Espèces
2024-01-02,08:44,T1071,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-02,22:50,T1072,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-02,18:00,T1073,Briquet Bic,Accessoires,1.0,1.5,Espèces
2024-01-02,18:53,T1074,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-02,18:53,T1074,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-02,18:53,T1074,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,18:53,T1074,Camel Filters,Tabac,2.0,11.9,CB
2024-01-02,15:52,T1075,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-02,15:52,T1075,Marlboro Red,Tabac,2.0,12.5,Espèces
2024-01-02,15:52,T1075,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-02,19:36,T1076,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-02,19:36,T1076,Marlboro Red,Tabac,2.0,12.5,CB
2024-01-02,10:51,T1077,Sandwich jambon beurre,Snacking,2.0,4.8,CB
2024-01-02,11:00,T1078,Croissant,Snacking,1.0,1.2,CB
2024-01-02,11:00,T1078,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,11:00,T1078,Coca-Cola 33cl,Boissons froides,2.0,2.5,CB
2024-01-02,18:31,T1079,Café expresso,Boissons chaudes,1.0,1.3,CB
2024-01-02,18:31,T1079,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,18:31,T1079,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-02,15:33,T1080,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-02,15:33,T1080,Camel Filters,Tabac,1.0,11.9,CB
2024-01-02,09:12,T1081,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-02,09:12,T1081,Croissant,Snacking,1.0,1.2,CB
2024-01-02,22:33,T1082,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-02,22:33,T1082,Croissant,Snacking,1.0,1.2,CB
2024-01-02,22:33,T1082,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-02,11:03,T1083,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-02,11:03,T1083,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-02,15:21,T1084,Café allongé,Boissons chaudes,2.0,1.5,CB
2024-01-02,15:21,T1084,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-02,13:04,T1085,Café allongé,Boissons chaudes,2.0,1.5,CB
2024-01-02,13:04,T1085,Eau 50cl,Boissons froides,2.0,1.0,CB
2024-01-02,13:04,T1085,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-02,17:26,T1086,Pain au chocolat,Snacking,2.0,1.3,CB
2024-01-02,21:19,T1087,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-02,21:19,T1087,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-02,08:48,T1088,Croissant,Snacking,1.0,1.2,CB
2024-01-02,08:48,T1088,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-02,08:48,T1088,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-02,08:48,T1088,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-02,17:18,T1089,Panini fromage,Snacking,1.0,5.5,CB
2024-01-02,17:18,T1089,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-02,21:50,T1090,Croissant,Snacking,1.0,1.2,Espèces
2024-01-02,21:50,T1090,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-02,21:50,T1090,Café allongé,Boissons chaudes,2.0,1.5,Espèces
2024-01-02,08:10,T1091,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-02,08:10,T1091,Euromillions,FDJ,1.0,2.5,Espèces
2024-01-02,08:10,T1091,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-03,16:05,T1092,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-03,16:05,T1092,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-03,18:55,T1093,Café expresso,Boissons chaudes,3.0,1.3,CB
2024-01-03,11:02,T1094,Red Bull,Boissons froides,1.0,2.8,Espèces
2024-01-03,11:02,T1094,Briquet Bic,Accessoires,2.0,1.5,Espèces
2024-01-03,11:02,T1094,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-03,18:31,T1095,Briquet Bic,Accessoires,1.0,1.5,Espèces
2024-01-03,18:31,T1095,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-03,10:26,T1096,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-03,19:02,T1097,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-03,19:02,T1097,Sandwich jambon beurre,Snacking,3.0,4.8,CB
2024-01-03,16:00,T1098,Euromillions,FDJ,1.0,2.5,Espèces
2024-01-03,16:00,T1098,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-03,16:28,T1099,Croissant,Snacking,1.0,1.2,Espèces
2024-01-03,16:28,T1099,Sandwich jambon beurre,Snacking,2.0,4.8,Espèces
2024-01-03,19:07,T1100,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,19:07,T1100,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-03,10:53,T1101,Euromillions,FDJ,1.0,2.5,Espèces
2024-01-03,10:53,T1101,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-03,11:45,T1102,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-03,11:45,T1102,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-03,11:45,T1102,Coca-Cola 33cl,Boissons froides,2.0,2.5,CB
2024-01-03,11:45,T1102,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,21:17,T1103,Grattage Astro,FDJ,2.0,5.0,Espèces
2024-01-03,21:17,T1103,Marlboro Red,Tabac,1.0,12.5,Espèces
2024-01-03,21:17,T1103,Euromillions,FDJ,1.0,2.5,Espèces
2024-01-03,20:37,T1104,Briquet Bic,Accessoires,1.0,1.5,Espèces
2024-01-03,20:37,T1104,Eau 50cl,Boissons froides,1.0,1.0,Espèces
2024-01-03,20:37,T1104,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,15:20,T1105,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,15:20,T1105,Lucky Strike,Tabac,2.0,12.2,Espèces
2024-01-03,19:45,T1106,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-03,20:09,T1107,Café allongé,Boissons chaudes,3.0,1.5,CB
2024-01-03,20:09,T1107,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,20:09,T1107,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-03,08:58,T1108,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,08:58,T1108,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-03,08:58,T1108,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-03,12:44,T1109,Thé menthe,Boissons chaudes,2.0,2.0,CB
2024-01-03,12:44,T1109,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-03,12:44,T1109,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-03,12:44,T1109,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-03,21:02,T1110,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,21:02,T1110,Panini fromage,Snacking,1.0,5.5,CB
2024-01-03,21:02,T1110,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-03,21:28,T1111,Panini fromage,Snacking,1.0,5.5,CB
2024-01-03,21:28,T1111,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-03,13:09,T1112,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-03,13:09,T1112,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-03,18:15,T1113,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,18:15,T1113,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,18:15,T1113,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-03,15:18,T1114,Red Bull,Boissons froides,2.0,2.8,Espèces
2024-01-03,15:18,T1114,Thé menthe,Boissons chaudes,3.0,2.0,Espèces
2024-01-03,15:18,T1114,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,19:29,T1115,Croissant,Snacking,1.0,1.2,Espèces
2024-01-03,19:29,T1115,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-03,19:29,T1115,Grattage Astro,FDJ,1.0,5.0,Espèces
2024-01-03,19:29,T1115,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,07:53,T1116,Sandwich jambon beurre,Snacking,2.0,4.8,Espèces
2024-01-03,07:53,T1116,Café expresso,Boissons chaudes,2.0,1.3,Espèces
2024-01-03,07:53,T1116,Panini fromage,Snacking,3.0,5.5,Espèces
2024-01-03,19:53,T1117,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-03,19:53,T1117,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,19:53,T1117,Feuilles OCB,Accessoires,1.0,1.2,Espèces
2024-01-03,19:53,T1117,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-03,18:53,T1118,Coca-Cola 33cl,Boissons froides,2.0,2.5,CB
2024-01-03,18:53,T1118,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-03,18:53,T1118,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,21:20,T1119,Red Bull,Boissons froides,1.0,2.8,Espèces
2024-01-03,21:23,T1120,Sandwich jambon beurre,Snacking,2.0,4.8,CB
2024-01-03,21:23,T1120,Red Bull,Boissons froides,2.0,2.8,CB
2024-01-03,21:23,T1120,Eau 50cl,Boissons froides,3.0,1.0,CB
2024-01-03,21:51,T1121,Thé menthe,Boissons chaudes,2.0,2.0,CB
2024-01-03,21:51,T1121,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,18:25,T1122,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-03,18:25,T1122,Thé menthe,Boissons chaudes,1.0,2.0,Espèces
2024-01-03,18:25,T1122,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-03,19:16,T1123,Camel Filters,Tabac,1.0,11.9,CB
2024-01-03,19:16,T1123,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-03,22:20,T1124,Pain au chocolat,Snacking,1.0,1.3,Espèces
2024-01-03,22:20,T1124,Thé menthe,Boissons chaudes,1.0,2.0,Espèces
2024-01-03,18:07,T1125,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-03,18:07,T1125,Panini fromage,Snacking,1.0,5.5,CB
2024-01-03,18:07,T1125,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,13:47,T1126,Grattage Astro,FDJ,2.0,5.0,Espèces
2024-01-03,13:47,T1126,Eau 50cl,Boissons froides,1.0,1.0,Espèces
2024-01-03,18:17,T1127,Camel Filters,Tabac,1.0,11.9,CB
2024-01-03,18:17,T1127,Croissant,Snacking,1.0,1.2,CB
2024-01-03,18:17,T1127,Pain au chocolat,Snacking,1.0,"1,3",CB
2024-01-03,13:57,T1128,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-03,13:57,T1128,Café allongé,Boissons chaudes,1.0,1.5,Espèces
2024-01-03,13:57,T1128,Croissant,Snacking,2.0,1.2,Espèces
2024-01-03,13:57,T1128,Eau 50cl,Boissons froides,1.0,1.0,Espèces
2024-01-03,18:38,T1129,Café allongé,Boissons chaudes,3.0,1.5,Espèces
2024-01-03,18:38,T1129,Marlboro Red,Tabac,2.0,12.5,Espèces
2024-01-03,18:38,T1129,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-03,17:37,T1130,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,17:37,T1130,Marlboro Red,Tabac,2.0,12.5,CB
2024-01-03,17:37,T1130,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-03,09:08,T1131,Red Bull,Boissons froides,2.0,2.8,CB
2024-01-03,09:08,T1131,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-03,09:08,T1131,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-03,17:01,T1132,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-03,17:01,T1132,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-03,17:01,T1132,Camel Filters,Tabac,1.0,11.9,CB
2024-01-03,13:37,T1133,Feuilles OCB,Accessoires,2.0,1.2,CB
2024-01-03,13:37,T1133,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-03,21:33,T1134,Café expresso,Boissons chaudes,2.0,1.3,CB
2024-01-03,21:33,T1134,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-03,21:33,T1134,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-04,08:05,T1135,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-04,08:05,T1135,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-04,08:05,T1135,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-04,08:05,T1135,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-04,11:32,T1136,Coca-Cola 33cl,Boissons froides,2.0,2.5,CB
2024-01-04,11:32,T1136,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-04,19:13,T1137,Pain au chocolat,Snacking,2.0,1.3,CB
2024-01-04,19:13,T1137,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-04,19:13,T1137,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-04,12:16,T1138,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-04,12:16,T1138,Briquet Bic,Accessoires,2.0,1.5,CB
2024-01-04,08:47,T1139,Eau 50cl,Boissons froides,1.0,1.0,CB
2024-01-04,17:21,T1140,Grattage Astro,FDJ,2.0,5.0,Espèces
2024-01-04,17:21,T1140,Camel Filters,Tabac,2.0,11.9,Espèces
2024-01-04,21:03,T1141,Panini fromage,Snacking,1.0,5.5,Espèces
2024-01-04,21:03,T1141,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-04,15:54,T1142,Camel Filters,Tabac,1.0,11.9,CB
2024-01-04,10:27,T1143,Café expresso,Boissons chaudes,1.0,1.3,Espèces
2024-01-04,10:27,T1143,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
